PhraseId,Sentiment
156061,2
156062,2
156063,2
156064,2
156065,2
156066,2
156067,2
156068,2
156069,2
156070,2
156071,2
156072,2
156073,2
156074,2
156075,2
156076,4
156077,2
156078,4
156079,4
156080,2
156081,2
156082,2
156083,4
156084,2
156085,2
156086,2
156087,2
156088,2
156089,4
156090,2
156091,4
156092,4
156093,4
156094,2
156095,2
156096,2
156097,2
156098,2
156099,2
156100,2
156101,2
156102,2
156103,2
156104,2
156105,2
156106,2
156107,2
156108,2
156109,2
156110,2
156111,2
156112,2
156113,2
156114,2
156115,2
156116,2
156117,2
156118,2
156119,2
156120,2
156121,2
156122,2
156123,2
156124,2
156125,2
156126,2
156127,2
156128,2
156129,2
156130,2
156131,2
156132,2
156133,2
156134,2
156135,2
156136,2
156137,2
156138,2
156139,2
156140,2
156141,2
156142,2
156143,2
156144,2
156145,2
156146,2
156147,2
156148,2
156149,2
156150,2
156151,2
156152,2
156153,2
156154,2
156155,2
156156,2
156157,2
156158,2
156159,2
156160,2
156161,2
156162,2
156163,2
156164,2
156165,2
156166,2
156167,2
156168,2
156169,2
156170,2
156171,2
156172,2
156173,2
156174,2
156175,2
156176,2
156177,2
156178,2
156179,2
156180,2
156181,2
156182,2
156183,2
156184,2
156185,2
156186,2
156187,2
156188,2
156189,2
156190,2
156191,2
156192,2
156193,2
156194,2
156195,2
156196,2
156197,2
156198,2
156199,2
156200,2
156201,2
156202,2
156203,2
156204,2
156205,2
156206,2
156207,2
156208,2
156209,2
156210,2
156211,2
156212,2
156213,2
156214,2
156215,2
156216,2
156217,2
156218,2
156219,2
156220,2
156221,2
156222,2
156223,2
156224,2
156225,2
156226,2
156227,2
156228,2
156229,2
156230,2
156231,2
156232,2
156233,2
156234,2
156235,2
156236,3
156237,2
156238,3
156239,2
156240,3
156241,2
156242,2
156243,2
156244,2
156245,2
156246,2
156247,2
156248,2
156249,2
156250,2
156251,2
156252,2
156253,2
156254,2
156255,2
156256,2
156257,2
156258,2
156259,2
156260,2
